"Commodity","Country","UOM","Category","SubCategory","YearNum","FoodValue"
"Meats","WORLD (Quantity)","1,000 mt","Food volume","Foods",2001,1634.0
"Fish and shellfish","WORLD (Quantity)","1,000 mt","Food volume","Foods",2001,1755.2
"Dairy","WORLD (Quantity)","1,000 mt","Food volume","Foods",2001,323.5
"Vegetables","WORLD (Quantity)","1,000 mt","Food volume","Foods",2001,5120.8
"Fruits","WORLD (Quantity)","1,000 mt","Food volume","Foods",2001,7492.6
"Nuts","WORLD (Quantity)","1,000 mt","Food volume","Foods",2001,315.9
"Coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Food volume","Foods",2001,1599.8
"Grains","WORLD (Quantity)","1,000 mt","Food volume","Foods",2001,7330.8
"Vegetable oils","WORLD (Quantity)","1,000 mt","Food volume","Foods",2001,2482.7
"Sugar and candy","WORLD (Quantity)","1,000 mt","Food volume","Foods",2001,2035.3
"Cocoa and chocolate","WORLD (Quantity)","1,000 mt","Food volume","Foods",2001,990.9
"Other edible products","WORLD (Quantity)","1,000 mt","Food volume","Foods",2001,1212.4
"Beverages","WORLD (Quantity)","1,000 litpf","Food volume","Foods",2001,4162.3
"Total live animals","WORLD (Quantity)","1,000","Animals","Foods",2002,8302.9
"Bovine animals, live","WORLD (Quantity)","1,000","Animals","Foods",2002,2426.2
"Swine, live","WORLD (Quantity)","1,000","Animals","Foods",2002,5725.7
"Sheep and goats, live","WORLD (Quantity)","1,000","Animals","Foods",2002,151.0
"Live poultry","WORLD (Quantity)","1,000","Animals","Foods",2002,14408.8
"Total red meats, fresh and frozen","WORLD (Quantity)","1,000 mt","Meats","Foods",2002,1483.3
"Fresh or chilled red meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2002,703.0
"Frozen red meats and parts","WORLD (Quantity)","1,000 mt","Meats","Foods",2002,716.6
"Fowl and other meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2002,21.6
"Prepared meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2002,195.1
"Total fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2002,1898.3
"Whole fish--fresh, chilled, or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",2002,348.7
"Fish fillets and mince","WORLD (Quantity)","1,000 mt","Fish","Foods",2002,487.8
"Shellfish, fresh or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",2002,576.5
"Prepared fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2002,485.3
"Total vegetables and preparations","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2002,5561.8
"Fresh vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2002,3435.7
"Frozen vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2002,392.1
"Dried vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2002,312.5
"Prepared or preserved vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2002,1426.3
"Total dairy products","WORLD (Quantity)","1,000 mt","Dairy","Foods",2002,329.9
"Cheese, fresh or processed","WORLD (Quantity)","1,000 mt","Dairy","Foods",2002,215.7
"Yogurt, buttermilk, or whey","WORLD (Quantity)","1,000 mt","Dairy","Foods",2002,59.7
"Milk and cream","WORLD (Quantity)","1,000 mt","Dairy","Foods",2002,23.5
"Butter or spreads","WORLD (Quantity)","1,000 mt","Dairy","Foods",2002,31.0
